Zip Code,Latitude,Longitude,POSITIVES,PERCENT_POSI,DEGREES,ENROLLS,ELDER,WHITES,BLACKS,ASIANS,MINORITIES,MED_INCOMES,MEAN_INCOMES,POVERTY,UNEMPLOYMENT
10017,40.7525251,-73.9648247,130,22.11,82.4,42.6,24.7,73.9,2.3,21.2,23.5,127506.0,174635.0,6.2,2.9
10018,40.7602435,-74.0028752,196,32.13,69.0,76.2,8.7,59.8,4.8,29.9,34.7,108914.0,154895.0,15.5,3.7
10019,40.7579089,-73.9854044,541,30.19,72.4,58.4,19.5,67.9,5.8,17.4,23.2,98833.0,162689.0,12.3,5.3
10021,40.7690558,-73.9489248,511,25.7,80.7,20.7,24.6,82.3,0.9,9.4,10.3,118289.0,222872.0,4.8,2.1
10022,40.7607161,-73.9669623,312,24.94,82.9,41.7,31.4,83.6,1.4,12.2,13.6,135363.0,248983.0,3.8,2.5
10023,40.7766953,-73.9825387,510,25.67,81.1,42.8,25.3,79.8,4.2,10.6,14.8,130452.0,217812.0,8.2,4.5
10024,40.78987,-73.9732148,590,27.6,80.7,25.5,22.8,83.1,3.9,7.2,11.1,131668.0,249579.0,7.2,2.6
10025,40.8010713,-73.9712525,1130,30.89,66.7,51.6,24.5,64.6,12.6,8.9,21.5,85930.0,155781.0,14.6,6.7
10026,40.8030467,-73.9527981,590,34.85,44.4,30.5,13.1,26.4,53.4,5.9,59.3,58884.0,99903.0,25.2,7.0
10027,40.8088224,-73.9658042,898,35.59,47.9,61.3,12.7,30.5,39.5,9.5,49.0,46113.0,81961.0,28.6,5.6
10028,40.779598,-73.9614614,439,25.87,83.2,29.8,21.4,86.2,1.3,9.6,10.9,125140.0,222550.0,5.0,2.6
10029,40.7836223,-73.9430407,1622,40.7,31.7,34.0,17.0,33.8,31.0,9.5,40.5,34016.0,68078.0,33.2,10.8
10030,40.8180643,-73.9431053,442,36.56,30.3,34.2,14.3,16.9,63.1,2.1,65.2,37232.0,72377.0,29.4,12.4
10031,40.8253129,-73.9483585,1141,42.32,35.9,42.7,14.0,29.7,29.8,3.9,33.7,49891.0,71698.0,22.4,6.9
10032,40.8373885,-73.9410163,1318,41.21,31.1,45.4,15.7,29.8,19.3,4.7,24.0,50391.0,66845.0,23.1,8.5
10033,40.8493219,-73.9352053,1179,42.11,36.3,37.1,16.4,40.5,10.4,2.2,12.6,58614.0,75872.0,19.6,9.6
10034,40.8728056,-73.9116935,624,33.77,34.0,33.6,16.7,38.4,11.6,3.1,14.7,54716.0,70567.0,19.6,7.8
10035,40.7238899,-73.9911667,845,41.36,27.7,32.4,15.3,20.3,40.8,4.9,45.7,30081.0,52121.0,37.6,7.7
10036,40.7559482,-73.9800143,372,30.77,72.2,64.3,13.9,63.1,7.2,19.0,26.2,91936.0,130731.0,15.3,4.8
